title_clean,year,grade
HAPPY FEET,2006,A-
HAPPY FEET TWO,2011,B+
HAPPY GILMORE,1996,B+
"HAPPYTIME MURDERS, THE",2018,C-
HARD RAIN,1998,B-
HARD TARGET,1993,B
HARD TO KILL,1990,A-
"HARD WAY, THE",1991,B
HARDBALL,2001,A-
HARDCORE HENRY,2016,C+
HARLEM NIGHTS,1989,A
HARLEY DAVIDSON AND THE MARLBORO MAN,1991,B
HAROLD & KUMAR GO TO WHITE CASTLE,2004,B+
HAROLD AND KUMAR ESCAPE GUANTANAMO BAY,2008,A-
HARRIET THE SPY,1996,B+
HARRY AND THE HENDERSONS,1987,A-
HARRY POTTER AND ORDER OF THE PHOENIX,2007,A-
HARRY POTTER AND THE CHAMBER OF SECRETS,2002,A+
HARRY POTTER AND THE DEATHLY HALLOWS: PART 1,2010,A
HARRY POTTER AND THE DEATHLY HALLOWS: PART 2,2011,A
HARRY POTTER AND THE GOBLET OF FIRE,2005,A
HARRY POTTER AND THE HALF-BLOOD PRINCE,2009,A-
HARRY POTTER AND THE PRISONER OF AZKABAN,2004,A
HARRY POTTER AND THE SORCERER'S STONE,2001,A
HARSH TIMES,2006,C
HART'S WAR,2002,B
"HATE U GIVE, THE",2018,A+
"HATEFUL EIGHT, THE",2016,B
HAUNTED HONEYMOON,1986,C-
"HAUNTED HOUSE 2, A",2014,B-
"HAUNTED HOUSE, A",2013,B-
"HAUNTED MANSION, THE",2003,B
"HAUNTING IN CONNECTICUT, THE",2009,B-
"HAUNTING, THE",1999,C+
HAVANA,1990,C+
HAYWIRE,2012,D+
HE GOT GAME,1998,B+
HE SAID SHE SAID,1991,B-
HE'S JUST NOT THAT INTO YOU,2009,B+
HEAD OF STATE,2003,B+
HEAD OVER HEELS,2001,B-
HEAR NO EVIL,1993,C
HEART AND SOULS,1993,A-
HEART CONDITION,1990,B
HEARTBREAK HOTEL,1988,B+
"HEARTBREAK KID, THE",2007,C-
HEARTBREAK RIDGE,1986,B+
HEARTBREAKERS,2001,B-
HEARTBURN,1986,B-
HEARTS IN ATLANTIS,2001,B
HEAT,1995,A-
HEAT,1987,C
"HEAT, THE",2013,A-
HEAVEN AND EARTH,1993,B+
HEAVEN IS FOR REAL,2014,A
HEAVEN'S PRISONERS,1996,B-
HEAVYWEIGHTS,1995,A-
HEIST,2001,B-
HELL FEST,2018,C
HELLBOY,2004,B-
HELLBOY,2019,C
HELLBOY II: THE GOLDEN ARMY,2008,B
HELLO AGAIN,1987,B-
"HELP, THE",2011,A+
HER,2014,B-
HER ALIBI,1989,B+
HERBIE: FULLY LOADED,2005,A
HERCULES,1997,A
HERCULES,2014,B+
HERE COMES THE BOOM,2012,A
HERE ON EARTH,2000,B
HEREAFTER,2010,C+
HEREDITARY,2018,D+
HERO,1992,A-
HEY ARNOLD! THE MOVIE,2002,B+
HIDALGO,2004,A-
HIDDEN FIGURES,2017,A+
"HIDDEN, THE",1987,B-
HIDE AND SEEK,2005,B-
HIDEAWAY,1995,B
HIDING OUT,1987,B+
HIGH CRIMES,2002,B+
HIGH FIDELITY,2000,C+
HIGH SCHOOL HIGH,1996,B+
HIGH SCHOOL MUSICAL 3: SENIOR YEAR,2008,A
HIGH SPIRITS,1988,B-
HIGH TENSION,2005,C-
HIGHLANDER,1986,C+
HIGHLANDER: ENDGAME,2000,B-
"HISTORY OF VIOLENCE, A",2005,C+
HIT AND RUN,2012,C+
HITCH,2005,A
"HITCHER, THE",1986,C+
"HITCHHIKER'S GUIDE TO THE GALAXY, THE",2005,B-
HITMAN,2007,B
"HITMAN'S BODYGUARD, THE",2017,B+
HITMAN: AGENT 47,2015,B
"HOBBIT: AN UNEXPECTED JOURNEY, THE",2012,A
"HOBBIT: THE BATTLE OF THE FIVE ARMIES, THE",2014,A-
"HOBBIT: THE DESOLATION OF SMAUG, THE",2013,A-
HOCUS POCUS,1993,B+
HOFFA,1992,B
HOLES,2003,A
"HOLIDAY, THE",2006,A-
HOLLOW MAN,2000,C
HOLLYWOOD ENDING,2002,B-
HOLLYWOOD HOMICIDE,2003,B
HOLMES & WATSON,2018,D+
HOLY MAN,1998,C+
HOME,2015,A
HOME AGAIN,2017,B
HOME ALONE,1990,A
HOME ALONE 2,1992,A-
HOME ALONE 3,1997,B+
HOME FOR THE HOLIDAYS,1995,C+
HOME FRIES,1998,C-
HOME ON THE RANGE,2004,A-
HOMEFRONT,2013,B
HOMEWARD BOUND,1993,A+
HOMEWARD BOUND 2,1996,B+
HONEY,2003,A-
HONEY I BLEW UP THE KID,1992,B+
HONEY I SHRUNK THE KIDS,1989,A
HONEYMOON IN VEGAS,1992,B+
"HONEYMOONERS, THE",2005,B-
HOODLUM,1997,B
HOODWINKED,2006,B+
HOODWINKED TOO! HOOD VS. EVIL,2011,B+
HOOK,1991,A-
HOOSIERS,1986,A
HOOT,2006,A-
HOP,2011,A-
HOPE AND GLORY,1987,A
HOPE FLOATS,1998,B+
HOPE SPRINGS,2012,B
HORRIBLE BOSSES,2011,B+
HORRIBLE BOSSES 2,2014,B+
"HORSE WHISPERER, THE",1998,A-
"HOST, THE",2013,B-
HOSTAGE,2005,B+
HOSTEL,2006,C-
HOSTEL 2,2007,C
HOSTILES,2018,B
"HOT CHICK, THE",2002,B+
HOT PURSUIT,1987,B-
HOT PURSUIT,2015,C+
HOT ROD,2007,B-
HOT SHOTS,1991,B
HOT SHOTS PART DEUX,1993,B
HOT TO TROT,1988,B-
HOT TUB TIME MACHINE,2010,B
HOT TUB TIME MACHINE 2,2015,C-
HOTEL ARTEMIS,2018,C-
HOTEL FOR DOGS,2009,A-
HOTEL TRANSYLVANIA,2012,A-
HOTEL TRANSYLVANIA 2,2015,A-
HOTEL TRANSYLVANIA 3: SUMMER VACATION,2018,A-
"HOURS, THE",2002,B-
HOUSE,1986,C
HOUSE 2 THE SECOND STORY,1987,C+
HOUSE ARREST,1996,B+
HOUSE AT THE END OF THE STREET,2012,B
"HOUSE BUNNY, THE",2008,B+
HOUSE OF SAND AND FOG,2003,B+
HOUSE OF WAX,2005,C+
HOUSE ON HAUNTED HILL,1999,C
"HOUSE WITH A CLOCK IN ITS WALLS, THE",2018,B+
"HOUSE, THE",2017,B-
HOUSEGUEST,1995,B+
HOUSESITTER,1992,A-
HOW DO YOU KNOW,2010,C-
HOW STELLA GOT HER GROOVE BACK,1998,A-
HOW TO BE SINGLE,2016,B
HOW TO DEAL,2003,B
HOW TO EAT FRIED WORMS,2006,B+
HOW TO LOSE A GUY IN 10 DAYS,2003,A-
HOW TO LOSE FRIENDS AND ALIENATE PEOPLE,2008,C+
HOW TO MAKE AN AMERICAN QUILT,1995,B+
HOW TO TRAIN YOUR DRAGON,2010,A
HOW TO TRAIN YOUR DRAGON 2,2014,A
HOW TO TRAIN YOUR DRAGON: THE HIDDEN WORLD,2019,A
HOWARD THE DUCK,1986,B-
HOWARDS END,1993,B
HUDSON HAWK,1991,C+
"HUDSUCKER PROXY, THE",1994,B
"HULK, THE",2003,B-
"HUNCHBACK OF NOTRE DAME, THE",1996,A
"HUNDRED-FOOT JOURNEY, THE",2014,A
"HUNGER GAMES, THE",2012,A
"HUNGER GAMES: CATCHING FIRE, THE",2013,A
"HUNGER GAMES: MOCKINGJAY - PART 1, THE",2014,A-
"HUNGER GAMES: MOCKINGJAY PART 2, THE",2015,A-
"HUNT FOR RED OCTOBER, THE",1990,A
"HUNTED, THE",1995,B-
"HUNTED, THE",2003,C
HUNTER KILLER,2018,A-
"HUNTSMAN: WINTER'S WAR, THE",2016,B+
"HURRICANE HEIST, THE",2018,B-
"HURRICANE, THE",1999,A
HUSBANDS AND WIVES,1992,B-
HUSH,1998,B-
"HUSTLE, THE",2019,B-
I AM LEGEND,2007,B
I AM NUMBER FOUR,2011,B+
I AM SAM,2001,A
I CAN ONLY IMAGINE,2018,A+
I DON'T KNOW HOW SHE DOES IT,2011,B-
I DREAMED OF AFRICA,2000,C+
I FEEL PRETTY,2018,B+
I KNOW WHAT YOU DID LAST SUMMER,1997,B-
I KNOW WHO KILLED ME,2007,F
I LOVE TROUBLE,1994,B
I LOVE YOU TO DEATH,1990,C
"I LOVE YOU, BETH COOPER",2009,B-
"I LOVE YOU, MAN",2009,B+
I NOW PRONOUNCE YOU CHUCK AND LARRY,2007,B+
I SPY,2002,B
I STILL KNOW WHAT YOU DID LAST SUMMER,1998,B
I'LL BE HOME FOR CHRISTMAS,1998,B+
I'LL DO ANYTHING,1994,B-
"I, FRANKENSTEIN",2014,B
"I, ROBOT",2004,A-
I.Q.,1994,B
ICE AGE,2002,A
ICE AGE 2: THE MELTDOWN,2006,A
ICE AGE: COLLISION COURSE,2016,B+
ICE AGE: CONTINENTAL DRIFT,2012,A-
ICE AGE: DAWN OF THE DINOSAURS,2009,A-
"ICE HARVEST, THE",2005,D
ICE PRINCESS,2005,A-
"IDENTICAL, THE",2014,B
IDENTITY,2003,B
IDENTITY THIEF,2013,B
"IDES OF MARCH, THE",2011,B
IDLE HANDS,1999,C+
IDLEWILD,2006,B+
IF I STAY,2014,A-
IF LOOKS COULD KILL,1991,B+
IF LUCY FELL,1996,B-
IGOR,2008,A-
IMAGINE THAT,2009,A-
IMMEDIATE FAMILY,1989,A-
IMMORTAL BELOVED,1995,A-
IMMORTALS,2011,B
IMPOSTOR,2002,C
IN AND OUT,1997,B
IN COUNTRY,1989,B
"IN CROWD, THE",2000,C
IN DREAMS,1999,C-
IN GOOD COMPANY,2005,B+
IN HER SHOES,2005,A-
IN LOVE AND WAR,1996,B+
IN THE ARMY NOW,1994,B
IN THE CUT,2003,F
IN THE HEART OF THE SEA,2015,B+
IN THE LAND OF WOMEN,2007,B-
IN THE LINE OF FIRE,1993,A
IN THE MIX,2005,B+
IN THE NAME OF THE FATHER,1993,A
IN TIME,2011,B-
"IN-LAWS, THE",2003,B+
INCARNATE,2016,C-
INCEPTION,2010,B+
"INCREDIBLE BURT WONDERSTONE, THE",2013,C+
"INCREDIBLE HULK, THE",2008,A-
"INCREDIBLES 2, THE",2018,A+
"INCREDIBLES, THE",2004,A+
INDECENT PROPOSAL,1993,B
INDEPENDENCE DAY,1996,A
INDEPENDENCE DAY: RESURGENCE,2016,B
"INDIAN IN THE CUPBOARD, THE",1995,A-
INDIAN SUMMER,1993,B
INDIANA JONES AND THE KINGDOM OF CRYSTAL SKULL,2008,B
INDIANA JONES AND THE LAST CRUSADE,1989,A
INFERNO,2016,B+
"INFILTRATOR, THE",2016,A-
"INFORMANT!, THE",2009,C-
INKHEART,2009,B+
INNERSPACE,1987,A-
INNOCENT BLOOD,1992,B-
"INNOCENT MAN, AN",1989,B+
INSIDE MAN,2006,B+
INSIDE OUT,2015,A
"INSIDER, THE",1999,A-
INSIDIOUS,2011,B
INSIDIOUS: CHAPTER 2,2013,B+
INSIDIOUS: CHAPTER 3,2015,B+
INSIDIOUS: THE LAST KEY,2018,B-
INSOMNIA,2002,B
INSPECTOR GADGET,1999,B
INSTANT FAMILY,2018,A
INSTINCT,1999,A-
"INTERN, THE",2015,A-
INTERNAL AFFAIRS,1990,B
"INTERNATIONAL, THE",2009,C+
"INTERNSHIP, THE",2013,B+
"INTERPRETER, THE",2005,B
INTERSECTION,1993,C+
INTERSTELLAR,2014,B+
INTERVIEW WITH THE VAMPIRE,1994,B+
INTO THE BLUE,2005,B
INTO THE STORM,2014,B
INTO THE WOODS,2014,B
INTOLERABLE CRUELTY,2003,C+
"INTRUDER, THE",2019,B-
"INVASION, THE",2007,C
INVENTING THE ABBOTTS,1997,B-
"INVENTION OF LYING, THE",2009,C+
INVICTUS,2009,A-
INVINCIBLE,2006,A-
"INVISIBLE, THE",2007,B
IRON EAGLE,1986,B
IRON EAGLE 2,1988,B
IRON GIANT,1999,A
IRON MAN,2008,A
IRON MAN 2,2010,A
IRON MAN 3,2013,A
IRON WILL,1993,A+
IRONWEED,1987,B+
ISHTAR,1987,C+
"ISLAND OF DR. MOREAU, THE",1996,C-
"ISLAND, THE",2005,B
ISN'T IT ROMANTIC,2019,B
ISN'T SHE GREAT,1999,B-
IT,2017,B+
IT COMES AT NIGHT,2017,D
IT COULD HAPPEN TO YOU,1994,B+
IT RUNS IN THE FAMILY,2003,B-
IT TAKES TWO,1995,A
IT'S COMPLICATED,2009,A-
"ITALIAN JOB, THE",2003,B+
J. EDGAR,2011,B
JACK,1996,B+
JACK AND JILL,2011,B
JACK FROST,1998,B+
JACK REACHER,2012,A-
JACK REACHER: NEVER GO BACK,2016,B+
JACK RYAN: SHADOW RECRUIT,2014,B
JACK THE BEAR,1993,B-
JACK THE GIANT SLAYER,2013,B+
"JACKAL, THE",1997,B-
JACKASS 3-D,2010,B+
JACKASS PRESENTS: BAD GRANDPA,2013,B
JACKASS: NUMBER TWO,2006,B+
JACKASS: THE MOVIE,2002,A-
JACKIE BROWN,1997,B
JACOB'S LADDER,1990,C-
JADE,1995,C+
JAKOB THE LIAR,1999,B+
JAMES AND THE GIANT PEACH,1996,A-
"JANUARY MAN, THE",1989,B-
JARHEAD,2005,B
JASON BOURNE,2016,A-
JASON X,2002,C
JAWBREAKER,1999,D+
JAWS THE REVENGE,1987,C-
JAY AND SILENT BOB STRIKE BACK,2001,B+
JEEPERS CREEPERS,2001,D
JEEPERS CREEPERS 2,2003,C+
JEFFERSON IN PARIS,1995,C+
JEM AND THE HOLOGRAMS,2015,B+
JENNIFER EIGHT,1992,B+
JENNIFER'S BODY,2009,C-
JERRY MAGUIRE,1996,A
JERSEY BOYS,2014,A-
JERSEY GIRL,2004,B+
JFK,1991,A
JIGSAW,2017,B
JIMMY HOLLYWOOD,1994,C
JIMMY NEUTRON: BOY GENIUS,2001,A-
JINGLE ALL THE WAY,1996,B+
JO JO DANCER,1986,B
JOBS,2013,B-
JOE DIRT,2001,B-
JOE SOMEBODY,2001,B
JOE VERSUS THE VOLCANO,1990,C+
JOE'S APARTMENT,1996,B+
JOHN CARPENTER'S GHOSTS OF MARS,2001,C-
JOHN CARPENTER'S VAMPIRES,1998,D+
JOHN CARTER,2012,B+
JOHN Q,2002,A
JOHN TUCKER MUST DIE,2006,B+
JOHN WICK,2014,B
JOHN WICK: CHAPTER 3- PARABELLUM,2019,A-
JOHN WICK: CHAPTER TWO,2017,A-
JOHNNY BE GOOD,1988,C
JOHNNY ENGLISH,2003,B
JOHNNY ENGLISH REBORN,2011,B
JOHNNY HANDSOME,1989,C+
JOHNNY MNEMONIC,1995,C+
JOHNSON FAMILY VACATION,2004,B+
JONAH HEX,2010,C+
JOSIE AND THE PUSSYCATS,2001,B
JOURNEY 2: THE MYSTERIOUS ISLAND,2012,A-
JOURNEY TO THE CENTER OF THE EARTH,2008,A-
JOY,2015,B+
"JOY LUCK CLUB, THE",1993,A+
JOY RIDE,2001,B+
JOYFUL NOISE,2012,A-
JUDGE DREDD,1995,B
"JUDGE, THE",2014,A-
JUDGMENT NIGHT,1993,B
JUDY MOODY AND THE NOT BUMMER SUMMER,2011,B+
JULIE & JULIA,2009,A
JUMANJI,1995,A-
JUMANJI: WELCOME TO THE JUNGLE,2017,A-
JUMPER,2008,B
JUMPIN' JACK FLASH,1986,A
JUMPING THE BROOM,2011,A
JUNGLE 2 JUNGLE,1997,A-
"JUNGLE BOOK, THE",2016,A
"JUNGLE BOOK 2, THE",2003,A-
JUNIOR,1994,B+
JUPITER ASCENDING,2015,B-
JURASSIC PARK,1993,A
JURASSIC PARK III,2001,B-
JURASSIC WORLD,2015,A
JURASSIC WORLD: FALLEN KINGDOM,2018,A-
"JUROR, THE",1996,B+
JURY DUTY,1995,B-
JUST BETWEEN FRIENDS,1986,B
JUST CAUSE,1995,B+
JUST FRIENDS,2005,B-
JUST GETTING STARTED,2017,C
JUST GO WITH IT,2011,A-
JUST LIKE HEAVEN,2005,B+
JUST MARRIED,2003,A-
JUST MY LUCK,2006,B
JUST VISITING,2001,A-
JUST WRIGHT,2010,A-
JUSTICE LEAGUE,2017,B+
JUSTIN BIEBER: NEVER SAY NEVER,2011,A
JUWANNA MANN,2002,B+
K-19: THE WIDOWMAKER,2002,B
K-PAX,2001,B+
K9,1989,A-
KANGAROO JACK,2003,A-
"KARATE KID 2, THE",1986,A-
"KARATE KID 3, THE",1989,B-
"KARATE KID, THE",2010,A
KATE AND LEOPOLD,2001,B+
KATY PERRY: PART OF ME,2012,A
KAZAAM,1996,B+
KEANU,2016,B
KEEPING THE FAITH,2000,A-
KEEPING UP WITH THE JONESES,2016,B-
KEVIN HART: WHAT NOW?,2016,A-
KICK-ASS,2010,B
KICK-ASS 2,2013,B+
KICKING AND SCREAMING,2005,B
"KID IN KING ARTHUR'S COURT, A",1995,A
"KID WHO WOULD BE KING, THE",2019,B+
KIDNAP,2017,B+
KILL BILL VOLUME I,2003,B+
KILL BILL VOLUME II,2004,A-
KILLER ELITE,2011,B
KILLERS,2010,B
KILLING THEM SOFTLY,2012,F
KIN,2018,B+
KINDERGARTEN COP,1990,A-
"KING & I, THE",1999,B+
KING ARTHUR,2004,B
KING ARTHUR: LEGEND OF THE SWORD,2017,B+
KING KONG,2005,A-
KING KONG LIVES,1986,D+
KING RALPH,1991,B+
KING'S RANSOM,2005,C+
KINGDOM COME,2001,B
KINGDOM OF HEAVEN,2005,B-
"KINGDOM, THE",2007,B+
KINGPIN,1996,B-
KINGSMAN: THE GOLDEN CIRCLE,2017,B+
KINGSMAN: THE SECRET SERVICE,2015,B+
"KISS BEFORE DYING, A",1991,C+
KISS OF DEATH,1995,B-
KISS OF THE DRAGON,2001,B+
KISS THE GIRLS,1997,B+
KISSING A FOOL,1998,C+
KNIGHT & DAY,2010,B+
"KNIGHT'S TALE, A",2001,B+
KNOCK OFF,1998,D+
KNOCKAROUND GUYS,2002,B
KNOCKED UP,2007,B+
KONG: SKULL ISLAND,2017,B+
KRAMPUS,2015,B-
KRIPPENDORF'S TRIBE,1998,C+
KUBO AND THE TWO STRINGS,2016,A
KUFFS,1992,B+
KULL THE CONQUEROR,1997,B-
KUNG FU PANDA,2008,A-
KUNG FU PANDA 2,2011,A
KUNG FU PANDA 3,2016,A
KUNG POW!: ENTER THE FIST,2002,C-
L.A. CONFIDENTIAL,1997,A-
L.A. STORY,1991,B
LA BAMBA,1987,A
LABOR DAY,2014,B-
LABYRINTH,1986,B
LADDER 49,2004,A-
"LADIES MAN, THE",2000,C-
LADY IN THE WATER,2006,B-
LADYBUGS,1992,A-
"LADYKILLERS, THE",2004,C
"LAKE HOUSE, THE",2006,B
LAKE PLACID,1999,C
LAKEVIEW TERRACE,2008,C+
LAND OF THE LOST,2009,C+
LARA CROFT TOMB RAIDER: CRADLE OF LIFE,2003,B-
LARA CROFT: TOMB RAIDER,2001,B
LARGER THAN LIFE,1996,B+
LARRY CROWNE,2011,B
LARRY THE CABLE GUY: HEALTH INSPECTOR,2006,B+
LAST ACTION HERO,1993,C+
"LAST AIRBENDER, THE",2010,C
"LAST BOY SCOUT, THE",1991,B+
"LAST CASTLE, THE",2001,A-
LAST DANCE,1996,B
"LAST EMPEROR, THE",1987,A-
"LAST EXORCISM PART II, THE",2013,C-
"LAST EXORCISM, THE",2010,D
LAST HOLIDAY,2006,A-
"LAST HOUSE ON THE LEFT, THE",2009,B
LAST MAN STANDING,1996,C+
"LAST MIMZY, THE",2007,B+
"LAST OF THE MOHICANS, THE",1992,A-
"LAST SAMURAI, THE",2003,A
"LAST SONG, THE",2010,B+
"LAST STAND, THE",2013,B
LAST VEGAS,2013,A-
"LAST WITCH HUNTER, THE",2015,B-
LATE FOR DINNER,1991,B+
LATE NIGHT,2019,B+
LAWLESS,2012,B+
LAWS OF ATTRACTION,2004,B+
"LAZARUS EFFECT, THE",2015,C-
"LEAGUE OF EXTRAORDINARY GENTLEMEN, THE",2003,B-
"LEAGUE OF THEIR OWN, A",1992,A-
LEAN ON ME,1989,A+
LEAP OF FAITH,1992,B-
LEAP YEAR,2010,B
LEAP!,2017,A
LEATHERHEADS,2008,C+
LEAVE IT TO BEAVER,1997,B
LEE DANIELS' THE BUTLER,2013,A
LEFT BEHIND,2014,B-
LEGAL EAGLES,1986,B+
LEGALLY BLONDE,2001,A-
"LEGALLY BLONDE 2: RED, WHITE & BLONDE",2003,B
LEGEND,1986,C+
"LEGEND OF BAGGER VANCE, THE",2000,B+
"LEGEND OF HERCULES, THE",2014,B-
"LEGEND OF TARZAN, THE",2016,A-
LEGEND OF THE GUARDIANS: THE OWLS OF GA'HOLLE,2010,A-
"LEGEND OF ZORRO, THE",2005,A-
LEGENDS OF OZ: DOROTHY'S RETURN,2014,A
LEGENDS OF THE FALL,1994,A-
LEGION,2010,C-
"LEGO BATMAN MOVIE, THE",2017,A-
"LEGO MOVIE 2: THE SECOND PART, THE",2019,A-
"LEGO MOVIE, THE",2014,A
"LEGO NINJAGO MOVIE, THE",2017,B+
LEMONY SNICKET'S A SERIES OF UNFORTUNATE EVENTS,2004,B+
LEONARD PART 6,1987,D+
LES MISERABLES,2012,A
LESS THAN ZERO,1987,C+
LET IT RIDE,1989,B-
LET ME IN,2010,C+
LET'S BE COPS,2014,B
LET'S GO TO PRISON,2006,C+
LETHAL WEAPON,1987,A
LETHAL WEAPON 2,1989,A+
LETHAL WEAPON 3,1992,A-
LETHAL WEAPON 4,1998,A-
LETTERS TO JULIET,2010,A-
LEVIATHAN,1989,C+
LIAR LIAR,1997,A-
LICENCE TO KILL,1989,B+
LICENSE TO DRIVE,1988,B
LICENSE TO WED,2007,B+
LIFE,1999,B+
LIFE,2017,C+
"LIFE AQUATIC WITH STEVE ZISSOU, THE",2004,D
LIFE AS A HOUSE,2001,A
LIFE AS WE KNOW IT,2010,A-
LIFE ITSELF,2018,B+
"LIFE LESS ORDINARY, A",1997,C+
"LIFE OF DAVID GALE, THE",2003,A-
LIFE OF PI,2012,A-
LIFE OF THE PARTY,2018,B
LIFE OR SOMETHING LIKE IT,2002,B+
LIFE STINKS,1991,B-
LIFE WITH MIKEY,1993,B+
"LIGHT BETWEEN OCEANS, THE",2016,B+
LIGHT IT UP,1999,B+
LIGHT OF DAY,1987,C
LIGHTS OUT,2016,B
LIKE FATHER LIKE SON,1987,B+
LIKE MIKE,2002,A
LILO & STITCH,2002,A
LIMITLESS,2011,B+
LINCOLN,2012,A
"LINCOLN LAWYER, THE",2011,A-
"LION KING, THE",2019,A
"LION KING, THE",1994,A+
LIONHEART,1991,B+
LIONS FOR LAMBS,2007,C
LISTEN TO ME,1989,B+
LITTLE,2019,B+
LITTLE BIG LEAGUE,1994,A-
LITTLE BLACK BOOK,2004,B-
LITTLE FOCKERS,2010,B-
LITTLE GIANTS,1994,A-
LITTLE MAN,2006,B+
LITTLE MAN TATE,1991,B+
LITTLE NICKY,2000,B-
"LITTLE RASCALS, THE",1994,A-
LITTLE SHOP OF HORRORS,1986,A-
"LITTLE VAMPIRE, THE",2000,B+
LITTLE WOMEN,1994,A
LIVE BY NIGHT,2017,B
LIVE FREE OR DIE HARD,2007,A-
"LIVING DAYLIGHTS, THE",1987,A
LIVING OUT LOUD,1998,B-
"LIZZIE McGUIRE MOVIE, THE",2003,A
LOCK UP,1989,B+
LOCKOUT,2012,B-
"LOFT, THE",2015,B-
LOGAN,2017,A-
LOGAN LUCKY,2017,B
LONDON HAS FALLEN,2016,A-
"LONE RANGER, THE",2013,B+
LONE SURVIVOR,2014,A+
"LONG KISS GOODNIGHT, THE",1996,A-
LONG SHOT,2019,B
"LONGEST RIDE, THE",2015,A
"LONGEST YARD, THE",2005,A-
"LONGSHOTS, THE",2008,A
LOOK WHO'S TALKING,1989,A
LOOK WHO'S TALKING NOW,1993,B+
LOOK WHO'S TALKING TOO,1990,B
LOONEY TUNES: BACK IN ACTION,2003,B+
LOOPER,2012,B
LOOSE CANNONS,1990,B-
LORD OF ILLUSIONS,1995,C+
LORD OF THE FLIES,1990,B-
"LORD OF THE RINGS: THE FELLOWSHIP OF THE RING, THE",2001,A-
"LORD OF THE RINGS: THE RETURN OF THE KING, THE",2003,A+
"LORD OF THE RINGS: THE TWO TOWERS, THE",2002,A
LORD OF WAR,2005,B-
LORDS OF DOGTOWN,2005,B+
LORENZO'S OIL,1991,A
LOSER,2000,C+
"LOSERS, THE",2010,B
LOSING ISAIAH,1995,B+
LOST AND FOUND,1999,B-
"LOST BOYS, THE",1987,A-
LOST IN SPACE,1998,B-
LOST IN YONKERS,1993,B+
LOST SOULS,2000,F
"LOST WORLD JURASSIC PARK, THE",1997,B+
"LOT LIKE LOVE, A",2005,B
LOTTERY TICKET,2010,A-
LOVE & BASKETBALL,2000,A
LOVE ACTUALLY,2003,B+
LOVE AFFAIR,1994,B+
LOVE AND OTHER DRUGS,2010,B-
LOVE DON'T COST A THING,2003,A-
"LOVE GURU, THE",2008,B-
LOVE HAPPENS,2009,B
LOVE JONES,1997,A
"LOVE LETTER, THE",1999,C-
LOVE THE COOPERS,2015,B-
"LOVE, SIMON",2018,A+
"LOVELY BONES, THE",2010,B
LOVERBOY,1989,B-
"LOW DOWN DIRTY SHAME, A",1994,A-
LUCAS,1986,A-
LUCKY NUMBER SLEVIN,2006,B+
LUCKY NUMBERS,2000,F
"LUCKY ONE, THE",2012,B+
LUCKY YOU,2007,C
LUCY,2014,C+
MA,2019,B-
MACGRUBER,2010,C-
MACHETE,2010,B
MACHETE KILLS,2013,B-
MAD CITY,1997,B-
MAD DOG AND GLORY,1993,C+
MAD LOVE,1995,B-
MAD MAX: FURY ROAD,2015,B+
MADAGASCAR,2005,A-
MADAGASCAR 3: EUROPE'S MOST WANTED,2012,A
MADAGASCAR: ESCAPE 2 AFRICA,2008,A-
MADE IN AMERICA,1993,B+
MADE IN HEAVEN,1987,B-
MADE OF HONOR,2008,B+
MADEA'S FAMILY REUNION,2006,A
MADELINE,1998,A-
MAFIA,1998,C
MAGIC MIKE,2012,B
MAGIC MIKE XXL,2015,A-
"MAGNIFICENT SEVEN, THE",2016,A-
MAGNOLIA,1999,C-
MAID IN MANHATTAN,2002,B+
MAID TO ORDER,1987,B
"MAJESTIC, THE",2001,B+
MAJOR LEAGUE,1989,A-
MAJOR LEAGUE 2,1994,B
MAJOR LEAGUE 3 BACK TO THE MINORS,1998,B-
MAJOR PAYNE,1995,A-
MALCOLM X,1992,A
MALEFICENT,2014,A
MALIBU'S MOST WANTED,2003,B
MALICE,1993,B+
MALONE,1987,B-
MAMA,2013,B-
"MAMBO KINGS, THE",1992,B
MAMMA MIA!,2008,A-
MAMMA MIA! HERE WE GO AGAIN,2018,A-
"MAN APART, A",2003,B+
"MAN FROM U.N.C.L.E., THE",2015,B
"MAN IN THE IRON MASK, THE",1998,B+
MAN OF STEEL,2013,A-
MAN OF THE HOUSE,2005,B-
MAN OF THE HOUSE,1995,B+
MAN OF THE YEAR,2006,B+
MAN ON A LEDGE,2012,B+
MAN ON FIRE,2004,A-
MAN ON THE MOON,1999,B-
MAN TROUBLE,1992,C
"MAN WHO KNEW TOO LITTLE, THE",1997,B
"MAN WITH THE IRON FISTS, THE",2012,C+
"MAN WITHOUT A FACE, THE",1993,A
"MAN, THE",2005,B-
"MANCHURIAN CANDIDATE, THE",2004,B+
MANHATTAN MURDER MYSTERY,1993,B+
"MANHATTAN PROJECT, THE",1986,B-
MANHUNTER,1986,B
MANNEQUIN,1987,B+
MANNEQUIN 2 ON THE MOVE,1991,B
MARCI X,2003,D+
MARIE ANTOINETTE,2006,C
"MARINE, THE",2006,B+
MARKED FOR DEATH,1990,A-
MARLEY & ME,2008,A
MARMADUKE,2010,B+
MARRIED TO THE MOB,1988,B-
"MARRYING MAN, THE",1991,B
MARS ATTACKS,1996,B
MARS NEEDS MOMS,2011,B
MARTIAN CHILD,2007,B
"MARTIAN, THE",2015,A
MARVEL'S THE AVENGERS,2012,A+
MARVIN'S ROOM,1996,C+
